,Name,lat,lon
0,Lesnovka,52.73937,32.02741
1,Klintsy,52.74443,32.25086
2,Unecha,52.81702,32.00613
3,Klimovo Air Base,52.34435,32.17038
4,Yelnya,54.60466,33.17042
5,Kursk,51.76865,36.43167
6,Pogonovo training ground,51.49683,39.17392
7,Valuyki,50.22927,38.11056
8,Soloti,50.27119,38.01979
9,Opuk,45.03103,35.95830
10,Bakhchysarai,44.76231,33.86253
11,Novoozerne,45.40086,33.14890
12,Dzhankoi,45.69481,34.42467
13,Novorossiysk,44.72015,37.83119
14,Raevskaya,44.81758,37.60302
15,SUPPORT,49.30922,31.25083
